Ranch Name,City,State,County,Price,Price (Clean),Acres,Acre Type,Full Location,Listing URL,Image Count
Six-S Ranch,Albion,Idaho,Cassia County,"$16,400,000",16400000,"3,280",Deeded Acres,"Albion, Idaho (Cassia County)",https://www.mirrranchgroup.com/ranches/six-s/,61
Cooper Ranch,"Albion, ID",Idaho,Cassia County,"$2,100,000",2100000,110,Total Acres,"Albion, ID, Idaho (Cassia County)",https://www.mirrranchgroup.com/ranches/cooper-ranch/,22
Flying T Ranch,"Moroni, Utah",(Sanpete County),Sanpete County,"$11,750,000",11750000,811,Deeded Acres,"Moroni, Utah, (Sanpete County) (Sanpete County)",https://www.mirrranchgroup.com/ranches/flying-t-ranch/,30
River Haven Ranch,"Henefer, Utah",(Summit County),Summit County,"$3,999,000",3999000,111,Deeded Acres,"Henefer, Utah, (Summit County) (Summit County)",https://www.mirrranchgroup.com/ranches/river-haven-ranch/,39
East Cotterel Ranch,Declo,Idaho,Cassia County,"$3,900,000",3900000,"2,756",Deeded Acres,"Declo, Idaho (Cassia County)",https://www.mirrranchgroup.com/ranches/east-cotterel-ranch/,19
Hat Springs Ranch,Malta,Idaho,"Cassia County, ID & Box Elder County, UT ","$4,500,000",4500000,"4,400",Total Acres,"Malta, Idaho (Cassia County, ID & Box Elder County, UT )",https://www.mirrranchgroup.com/ranches/hat-springs/,72
Happy Trails 2 U Ranch,New Harmony,Utah,Washington County,"$2,650,000",2650000,50,Deeded Acres,"New Harmony, Utah (Washington County)",https://www.mirrranchgroup.com/ranches/happy-trails-2-u-ranch/,70
East Canyon Ranch,Porterville,Utah,Morgan County,"$19,950,000",19950000,"5,052",Total Acres,"Porterville, Utah (Morgan County)",https://www.mirrranchgroup.com/ranches/east-canyon-ranch/,48
T7 Ranch,"Kamas, Utah",(Summit County),Summit County,"$2,300,000",2300000,35,Total Acres,"Kamas, Utah, (Summit County) (Summit County)",https://www.mirrranchgroup.com/ranches/t7-ranch/,13
Miller Time Ranch,Mount Pleasant,Utah,Sanpete County,"$17,500,000",17500000,800,Deeded Acres,"Mount Pleasant, Utah (Sanpete County)",https://www.mirrranchgroup.com/ranches/miller-time-ranch/,55
Twisted Gulch Ranch,Tropic,Utah,Garfield County,"$1,586,000",1586000,244,Deeded Acres,"Tropic, Utah (Garfield County)",https://www.mirrranchgroup.com/ranches/twisted-gulch-ranch/,41
Rio Virgin Ranch,Virgin,Utah,Washington County,"$6,700,000",6700000,79,Deeded Acres,"Virgin, Utah (Washington County)",https://www.mirrranchgroup.com/ranches/rio-virgin-ranch/,45
Paradise Canyon Ranch,Croydon,Utah,Morgan County,"$4,400,000",4400000,"1,024",Deeded Acres,"Croydon, Utah (Morgan County)",https://www.mirrranchgroup.com/ranches/paradise-canyon-ranch/,42
